respondent_id,questionnaire_id,group_code,group,institution_code,questionnaire_number,mode,source_label,sample1_code,sample1_format,sample2_code,sample2_format,child_age_years,selection_criteria_other_text,open_q14_most_important,open_q15_what_avoid,notes,child_gender,preschool_children_in_family,weekday_video_time,primary_device,content_chooser,co_viewing_frequency,precheck_frequency,selection_criteria_multi,content_quality_concern_1_5,knows_ai_content,has_given_ai_content,negative_reaction_seen,youtube_trust_1_5,sample1_likes,sample1_positive_value,sample1_safe,sample1_language_quality,sample1_age_fit,sample1_overall,sample1_guessed_origin,sample1_would_show,sample2_likes,sample2_positive_value,sample2_safe,sample2_language_quality,sample2_age_fit,sample2_overall,sample2_guessed_origin,sample2_would_show
P-03-02,Б-03-02-T7V6,Б,parent,03,02,paper,,T7,text,V6,video,3,,"«Відповідає вікові дитини, повчальний, яскравий.»",«Щоб не було негативу та страху.»,,хлопчик,2,1–2 год.,Смартфон,Разом,Часто,Завжди,"Позитивні цінності; Спокійний темп",4,"Чув(-ла), не впевнений(-а)",Ні,Ні,3,3,3,3,3,3,3,Важко сказати,Скоріше ні,2,2,2,2,2,2,ШІ,Скоріше ні
P-03-06,Б-03-06-T8V3,Б,parent,03,06,paper,,T8,text,V3,video,5,,"«Чому вчить ця історія;»","«агресії»
«неправдивої інформації»",,хлопчик,2,Більше 2 год.,Телевізор,Разом,Іноді,Завжди,"Позитивні цінності; Спокійний темп; Дитині подобається",5,Так,"Так, свідомо","Так, неодноразово",1,5,5,5,5,5,5,Традиційний,Так,4,4,3,4,4,4,ШІ,
P-04-02,Б-04-02-T4V6,Б,parent,04,02,paper,,T4,text,V6,video,6,,Морально-виховний зміст,Російської мови,,хлопчик,1,30–60 хв.,Телевізор,Разом,Завжди,Завжди,"Позитивні цінності; Спокійний темп; Хороша мова; Дитині подобається",1,Так,Ні,Ні,2,5,5,5,5,5,5,Традиційний,Так,5,3,5,5,5,5,Традиційний,Так
P-03-07,Б-03-07-T3V5,Б,parent,03,07,paper,,T3,text,V5,video,5,,"«моральна цінність»
«якісна анімація та озвучка»
«відсутність агресії»","«російськомовний контент»
«страшні персонажі»
«комічних відео»",,хлопчик,2,1–2 год.,Телевізор,Разом,Рідко,Часто,"Позитивні цінності; Хороша мова; Дитині подобається",1,Так,"Так, свідомо",Ні,5,5,5,5,5,5,5,Традиційний,Так,5,5,5,5,5,5,ШІ,Так
P-03-04,Б-03-04-T6V2,Б,parent,03,04,paper,,T6,text,V2,video,5,"виховний зміст, рідна мова",«пам’ять»,"«щоб не несли страху, негативу.»",,хлопчик,1,30–60 хв.,Смартфон,Разом,Іноді,Іноді,"Позитивні цінності; Хороша мова; Інше",4,Так,Ні,"Так, один раз",4,4,4,5,5,4,4,Традиційний,Так,5,5,5,5,5,5,ШІ,Так
P-02-04,Б-02-04-T2V6,Б,parent,02,04,paper,,T2,text,V6,video,4,,"«Зрозумілість змісту і відповідність віку, цікавий зміст.»",«Страшний і тривожний контент.»,,хлопчик,2,1–2 год.,Телевізор,Дитина,Часто,Рідко,Дитині подобається,3,Так,"Так, свідомо",Ні,2,2,2,1,4,3,2,ШІ,Скоріше ні,5,4,5,5,5,5,ШІ,Так
P-04-06,Б-04-06-T2V4,Б,parent,04,06,paper,,T2,text,V4,video,4,,"«Цікавий зміст.
Добрі і зрозумілі історії.»","«Без насилля.
Без монстрів.
Без хамства.»",,дівчинка,2,Більше 2 год.,Планшет,Дитина,Іноді,Іноді,Дитині подобається,3,Так,"Так, свідомо",Ні,3,5,5,5,5,5,5,Важко сказати,Скоріше так,5,4,4,5,5,5,Важко сказати,Так
P-04-07,Б-04-07-T1V5,Б,parent,04,07,paper,,T1,text,V5,video,3,,"«Чітка картинка без сильно яскравих кольорів, повчальний зміст, відповідність до віку дитини, без перевантаження.»","«Незрозумілий контент, який не підходить дитині по віку.»",,хлопчик,1,1–2 год.,Телевізор,Разом,Часто,Іноді,"Спокійний темп; Хороша мова",2,Так,Ні,Ні,2,1,1,1,1,2,1,Традиційний,Так,1,2,1,1,1,1,Традиційний,Так
P-04-04,Б-04-04-T7V1,Б,parent,04,04,paper,,T7,text,V1,video,5,,"«Відповідність вікові;»
«Цінності;»
«Гарна озвучка;»
«Цікавий сюжет.»","«Нецензурна лексика;»
«Насильство;»
«Мова-ворожа;»
«Поганий зміст.»",,дівчинка,1,1–2 год.,Смартфон,Разом,Часто,Завжди,"Позитивні цінності; Без насилля; Спокійний темп; Хороша мова; Дитині подобається",3,"Чув(-ла), не впевнений(-а)",Можливо,"Так, один раз",3,4,5,5,5,5,5,Традиційний,Так,5,3,5,5,5,,ШІ,Так
P-КТФ-15,Б-КТФ-15-T9V5,Б,parent,КТФ,15,paper,,T9,text,V5,video,4,,"«Мова»
«Сюжет (щоб було цікаво для дитини)»","«Насилля»
«Російської мови»",,хлопчик,1,30–60 хв.,Телевізор,Я сам/-а,Іноді,Часто,"Позитивні цінності; Без насилля; Хороша мова",5,Так,Ні,Ні,3,4,5,5,5,4,5,ШІ,Скоріше ні,5,5,5,5,5,5,Важко сказати,Так
